epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.193,1.09044,1.64187,1.415,0.40756,0.29377,0.22207,0.16,1.06814,3.62096,1.33912,0.00333105,0.00333105,0.00333105
2,269.806,0.97419,1.05238,1.30674,0.41602,0.22772,0.2322,0.16562,1.05212,3.87514,1.38601,0.00659841,0.00659841,0.00659841
3,398.914,1.03629,1.13063,1.36002,0.42143,0.23192,0.22813,0.15902,1.09802,3.96035,1.44183,0.00979977,0.00979977,0.00979977
4,527.661,1.09441,1.22064,1.39943,0.45113,0.24528,0.23707,0.15703,1.04845,3.85302,1.41889,0.009703,0.009703,0.009703
5,656.168,1.0369,1.12726,1.36246,0.49845,0.23058,0.26123,0.18401,0.996,3.9743,1.38616,0.009604,0.009604,0.009604
6,784.745,0.99678,1.04148,1.33438,0.4049,0.28101,0.25642,0.19188,0.89463,3.97083,1.31469,0.009505,0.009505,0.009505
7,913.445,0.95255,0.97693,1.29828,0.41571,0.3477,0.27903,0.19872,0.9769,3.90193,1.34765,0.009406,0.009406,0.009406
8,1042.4,0.92316,0.93199,1.27876,0.43781,0.28019,0.24391,0.18154,0.91484,3.99047,1.30717,0.009307,0.009307,0.009307
9,1171.21,0.8974,0.87784,1.26161,0.43922,0.25859,0.23433,0.17212,0.87886,3.98371,1.29572,0.009208,0.009208,0.009208
10,1300.31,0.87636,0.85553,1.24777,0.3188,0.29212,0.25462,0.18249,0.87147,3.92466,1.29952,0.009109,0.009109,0.009109
11,1429.18,0.8653,0.81777,1.23494,0.43987,0.27219,0.24907,0.18581,0.91069,4.05052,1.32675,0.00901,0.00901,0.00901
12,1558.55,0.83589,0.79359,1.21807,0.45502,0.34501,0.2824,0.21794,0.81361,3.80416,1.25696,0.008911,0.008911,0.008911
13,1688.03,0.82189,0.77204,1.20972,0.44026,0.27314,0.3034,0.23454,0.80081,3.8341,1.26716,0.008812,0.008812,0.008812
14,1817.13,0.80529,0.74296,1.194,0.46585,0.33905,0.28295,0.2186,0.79292,3.9323,1.23792,0.008713,0.008713,0.008713
15,1947.08,0.79308,0.73156,1.18422,0.45509,0.34897,0.2828,0.21756,0.77573,3.79352,1.22494,0.008614,0.008614,0.008614
16,2076.76,0.78472,0.7139,1.1839,0.41581,0.39541,0.28576,0.22509,0.79809,3.82119,1.26392,0.008515,0.008515,0.008515
17,2206.42,0.76946,0.68962,1.17177,0.29488,0.32912,0.2693,0.21078,0.8104,4.03089,1.25077,0.008416,0.008416,0.008416
18,2336.22,0.76481,0.68464,1.16483,0.29166,0.33111,0.31793,0.23794,0.80718,3.86424,1.24652,0.008317,0.008317,0.008317
19,2466.05,0.75267,0.67216,1.15728,0.4033,0.34896,0.26028,0.19929,0.7724,4.0099,1.23145,0.008218,0.008218,0.008218
20,2596.36,0.74995,0.65801,1.15384,0.42818,0.29434,0.28372,0.2216,0.79557,4.02342,1.25204,0.008119,0.008119,0.008119
21,2726.38,0.73706,0.64317,1.15331,0.23533,0.27483,0.24634,0.19269,0.78836,4.00087,1.27493,0.00802,0.00802,0.00802
22,2856.17,0.73458,0.63589,1.14847,0.29288,0.36653,0.29436,0.2354,0.81107,3.85479,1.24375,0.007921,0.007921,0.007921
23,2985.97,0.72234,0.62683,1.13774,0.3489,0.31693,0.30066,0.23833,0.77872,3.88683,1.23953,0.007822,0.007822,0.007822
24,3115.52,0.71842,0.61606,1.13999,0.26662,0.32184,0.30941,0.24379,0.73983,3.93159,1.20701,0.007723,0.007723,0.007723
25,3245.36,0.70513,0.60017,1.12586,0.44019,0.31305,0.28554,0.23103,0.76499,3.81716,1.2332,0.007624,0.007624,0.007624
26,3375.18,0.69625,0.59334,1.1205,0.49421,0.31402,0.32206,0.25734,0.75894,3.90223,1.23473,0.007525,0.007525,0.007525
27,3505.47,0.69599,0.59499,1.12065,0.42591,0.32614,0.28028,0.22621,0.73162,4.04412,1.20628,0.007426,0.007426,0.007426
28,3635.11,0.68183,0.57535,1.11407,0.46543,0.32354,0.31705,0.25842,0.71617,4.01032,1.19201,0.007327,0.007327,0.007327
29,3764.64,0.68057,0.57013,1.11032,0.42042,0.31073,0.28533,0.2284,0.73603,3.97373,1.20563,0.007228,0.007228,0.007228
30,3895.09,0.67067,0.55888,1.10475,0.41425,0.31846,0.32722,0.25405,0.76432,4.03079,1.25566,0.007129,0.007129,0.007129
31,4025.61,0.66644,0.55609,1.10372,0.48048,0.30087,0.29516,0.24186,0.71244,4.06524,1.19041,0.00703,0.00703,0.00703
32,4155.16,0.66162,0.55145,1.10157,0.42598,0.28404,0.26738,0.21744,0.7223,4.12664,1.21148,0.006931,0.006931,0.006931
33,4285.29,0.65526,0.54124,1.0979,0.4357,0.32468,0.30492,0.24545,0.71824,4.13878,1.21657,0.006832,0.006832,0.006832
34,4415.18,0.64564,0.53104,1.09031,0.29659,0.33646,0.28921,0.23524,0.70125,4.24219,1.18914,0.006733,0.006733,0.006733
35,4544.84,0.64468,0.52671,1.08982,0.4084,0.35374,0.2864,0.22842,0.72379,4.32025,1.22526,0.006634,0.006634,0.006634
36,4674.95,0.64117,0.52147,1.08735,0.26771,0.36459,0.31738,0.25386,0.70502,4.15321,1.19553,0.006535,0.006535,0.006535
37,4804.49,0.63408,0.51374,1.08024,0.35958,0.36303,0.29783,0.23742,0.71486,4.24378,1.19864,0.006436,0.006436,0.006436
38,4934.74,0.63926,0.51569,1.08549,0.43848,0.31728,0.31081,0.24888,0.72095,4.25339,1.20834,0.006337,0.006337,0.006337
39,5064.74,0.62474,0.50343,1.07901,0.44291,0.33481,0.31484,0.2577,0.6865,4.26876,1.17224,0.006238,0.006238,0.006238
40,5194.65,0.61936,0.49754,1.07432,0.42265,0.3814,0.31586,0.25568,0.69492,4.21104,1.18635,0.006139,0.006139,0.006139
41,5324.58,0.61685,0.50216,1.07282,0.48052,0.27912,0.3313,0.26667,0.70147,4.17732,1.19727,0.00604,0.00604,0.00604
42,5454.61,0.61792,0.49729,1.07598,0.48276,0.2748,0.30414,0.24718,0.70062,4.31396,1.19606,0.005941,0.005941,0.005941
43,5585.01,0.6102,0.48963,1.07023,0.47198,0.28712,0.30966,0.25141,0.7069,4.32451,1.1985,0.005842,0.005842,0.005842
44,5715.18,0.60837,0.47818,1.06463,0.43738,0.35494,0.30087,0.25234,0.68492,4.40594,1.16963,0.005743,0.005743,0.005743
45,5845.54,0.60117,0.47317,1.0618,0.44653,0.31932,0.31817,0.26193,0.68593,4.32437,1.17841,0.005644,0.005644,0.005644
46,5975.67,0.5967,0.47102,1.06395,0.42973,0.34105,0.29843,0.24805,0.68988,4.27745,1.17644,0.005545,0.005545,0.005545
47,6106.29,0.59517,0.47439,1.06021,0.47036,0.31812,0.29871,0.24514,0.69368,4.26345,1.18941,0.005446,0.005446,0.005446
48,6236.67,0.59248,0.45794,1.05794,0.45205,0.33848,0.32001,0.26512,0.68819,4.35082,1.1819,0.005347,0.005347,0.005347
49,6366.92,0.58828,0.46406,1.05824,0.44449,0.34927,0.33303,0.27634,0.68607,4.40635,1.16856,0.005248,0.005248,0.005248
50,6497.47,0.58251,0.4596,1.05507,0.46271,0.35792,0.32999,0.27284,0.68072,4.3531,1.17371,0.005149,0.005149,0.005149
51,6628.05,0.58064,0.45398,1.05153,0.46263,0.32633,0.32389,0.27042,0.67881,4.42811,1.17845,0.00505,0.00505,0.00505
52,6758.54,0.57291,0.44219,1.04622,0.49883,0.2888,0.32974,0.27287,0.69038,4.48286,1.17639,0.004951,0.004951,0.004951
53,6889.01,0.57479,0.44423,1.04973,0.50256,0.2657,0.31608,0.26262,0.68457,4.44124,1.17785,0.004852,0.004852,0.004852
54,7019.54,0.56547,0.4383,1.04315,0.50802,0.2814,0.32082,0.25878,0.69329,4.5038,1.18543,0.004753,0.004753,0.004753
55,7150.05,0.56457,0.43652,1.04358,0.47694,0.29622,0.31794,0.26102,0.67687,4.46983,1.17781,0.004654,0.004654,0.004654
56,7280.26,0.56085,0.43362,1.04093,0.44295,0.34122,0.31208,0.25796,0.67984,4.48916,1.17766,0.004555,0.004555,0.004555
57,7410.23,0.55402,0.42489,1.03628,0.45095,0.33524,0.31012,0.25778,0.6827,4.51753,1.17478,0.004456,0.004456,0.004456
58,7540.34,0.55095,0.42231,1.03601,0.44331,0.3277,0.29893,0.24603,0.68561,4.55659,1.17561,0.004357,0.004357,0.004357
59,7670.75,0.54906,0.41815,1.03554,0.4791,0.29277,0.29764,0.2468,0.68969,4.57217,1.17875,0.004258,0.004258,0.004258
60,7800.98,0.54748,0.42375,1.03423,0.46414,0.32102,0.30374,0.25166,0.68848,4.54358,1.18148,0.004159,0.004159,0.004159
61,7931.05,0.54506,0.41254,1.032,0.48865,0.28883,0.30674,0.25408,0.69176,4.5324,1.18589,0.00406,0.00406,0.00406
62,8061.14,0.5388,0.40861,1.02836,0.48629,0.29348,0.30285,0.2491,0.6853,4.57833,1.1853,0.003961,0.003961,0.003961
63,8191.24,0.53182,0.40732,1.02568,0.48622,0.28171,0.3038,0.25064,0.68271,4.59384,1.18317,0.003862,0.003862,0.003862
64,8321.59,0.52899,0.39912,1.02308,0.48449,0.28221,0.30578,0.25278,0.67771,4.59217,1.18104,0.003763,0.003763,0.003763
65,8451.76,0.52968,0.39919,1.02384,0.41861,0.31615,0.30457,0.25056,0.68116,4.59428,1.18714,0.003664,0.003664,0.003664
66,8582.24,0.51992,0.39346,1.01982,0.48825,0.27155,0.30108,0.24742,0.68851,4.59909,1.19471,0.003565,0.003565,0.003565
67,8712.91,0.52087,0.39159,1.01856,0.33279,0.34519,0.30516,0.25149,0.68646,4.62989,1.19491,0.003466,0.003466,0.003466
68,8843.32,0.51827,0.38562,1.01812,0.39845,0.34116,0.30315,0.2523,0.67796,4.65483,1.18728,0.003367,0.003367,0.003367
69,8974.43,0.51738,0.38613,1.01777,0.25922,0.34149,0.2982,0.24906,0.67701,4.68694,1.18415,0.003268,0.003268,0.003268
70,9105.39,0.50642,0.3776,1.01062,0.26885,0.32222,0.29548,0.24533,0.68186,4.69924,1.1906,0.003169,0.003169,0.003169
71,9236.36,0.50826,0.37471,1.01153,0.27372,0.31887,0.29797,0.24612,0.68436,4.7232,1.19101,0.00307,0.00307,0.00307
72,9366.88,0.50208,0.37478,1.01018,0.27608,0.31939,0.30187,0.24967,0.68749,4.73687,1.19621,0.002971,0.002971,0.002971
73,9497.04,0.50366,0.37293,1.01053,0.28241,0.31117,0.30521,0.25129,0.6871,4.73637,1.19726,0.002872,0.002872,0.002872
74,9628.05,0.49826,0.36871,1.01106,0.30516,0.3559,0.30235,0.24811,0.68445,4.74945,1.19576,0.002773,0.002773,0.002773
75,9759.36,0.49259,0.36038,1.00383,0.30871,0.35705,0.2997,0.24753,0.68091,4.7622,1.19525,0.002674,0.002674,0.002674
76,9889.77,0.48796,0.35864,1.00256,0.30656,0.35075,0.30352,0.25184,0.68001,4.77085,1.19498,0.002575,0.002575,0.002575
77,10020.4,0.4866,0.36004,1.00083,0.30115,0.34729,0.30234,0.25039,0.67785,4.787,1.19148,0.002476,0.002476,0.002476
78,10151.4,0.48173,0.35408,1.00109,0.48803,0.28929,0.30361,0.25031,0.67753,4.78381,1.19058,0.002377,0.002377,0.002377
79,10282.1,0.48035,0.3528,1.00016,0.23398,0.368,0.30554,0.24961,0.67839,4.77982,1.18984,0.002278,0.002278,0.002278
