epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.412,0.67008,1.76272,1.3004,0.777,0.68957,0.80559,0.69368,0.5398,0.79952,1.11704,0.00332367,0.00332367,0.00332367
2,412.428,0.69825,1.02294,1.28266,0.75525,0.62498,0.72315,0.57758,0.62843,1.06159,1.21238,0.00665674,0.00665674,0.00665674
3,600.084,0.83424,1.24878,1.39524,0.55013,0.38571,0.42573,0.29247,1.06871,2.10035,1.77977,0.00998878,0.00998878,0.00998878
4,787.62,0.9474,1.4695,1.48355,0.60325,0.59542,0.63619,0.49268,0.81012,1.40802,1.39055,0.00999648,0.00999648,0.00999648
5,975.386,0.86474,1.2673,1.40729,0.66967,0.65725,0.68153,0.56228,0.65959,1.30053,1.24836,0.00999375,0.00999375,0.00999375
6,1162.83,0.8068,1.10364,1.35341,0.76396,0.67879,0.77349,0.63853,0.66339,0.86238,1.26309,0.00999023,0.00999023,0.00999023
7,1350.42,0.76523,1.00065,1.31131,0.70293,0.78059,0.82488,0.69114,0.59346,0.84063,1.1514,0.00998594,0.00998594,0.00998594
8,1538,0.73384,0.92683,1.28764,0.72111,0.77109,0.81581,0.69143,0.58934,0.72807,1.14996,0.00998086,0.00998086,0.00998086
9,1725.41,0.71709,0.87992,1.27345,0.83307,0.77643,0.86841,0.76597,0.53984,0.65627,1.1103,0.00997501,0.00997501,0.00997501
10,1912.97,0.693,0.84037,1.25125,0.84704,0.82715,0.88073,0.77652,0.5068,0.59561,1.07903,0.00996838,0.00996838,0.00996838
11,2100.63,0.67621,0.79986,1.23602,0.88226,0.76399,0.87229,0.76808,0.5072,0.65172,1.07264,0.00996097,0.00996097,0.00996097
12,2288.19,0.66728,0.76269,1.22621,0.81661,0.74628,0.83851,0.72666,0.53815,0.70423,1.10554,0.00995278,0.00995278,0.00995278
13,2475.73,0.65122,0.73818,1.21115,0.85251,0.78411,0.86883,0.76477,0.50127,0.63218,1.06658,0.00994383,0.00994383,0.00994383
14,2663.14,0.63751,0.71341,1.20094,0.8485,0.86252,0.92817,0.83703,0.44885,0.47202,1.02049,0.0099341,0.0099341,0.0099341
15,2850.83,0.62908,0.68955,1.19484,0.90827,0.84467,0.93209,0.84399,0.44799,0.48713,1.01187,0.00992359,0.00992359,0.00992359
16,3038.4,0.61806,0.67745,1.18933,0.87618,0.81566,0.90391,0.81488,0.47978,0.5522,1.06442,0.00991232,0.00991232,0.00991232
17,3225.94,0.61147,0.6562,1.17876,0.91507,0.845,0.92917,0.84027,0.46874,0.4702,1.03742,0.00990028,0.00990028,0.00990028
18,3413.31,0.59652,0.63854,1.16543,0.90097,0.83117,0.92796,0.8383,0.44701,0.42897,1.00471,0.00988748,0.00988748,0.00988748
19,3600.81,0.59494,0.62524,1.16728,0.89449,0.88231,0.93381,0.86066,0.4182,0.4056,0.9723,0.00987391,0.00987391,0.00987391
20,3788.35,0.58953,0.61079,1.15903,0.90364,0.87098,0.93,0.85946,0.41234,0.42786,0.96074,0.00985958,0.00985958,0.00985958
21,3976.01,0.58165,0.59031,1.1532,0.88569,0.87986,0.93857,0.86613,0.41772,0.40598,0.97994,0.00984449,0.00984449,0.00984449
22,4163.61,0.57635,0.5893,1.14937,0.91108,0.87284,0.94881,0.87454,0.406,0.39084,0.97534,0.00982864,0.00982864,0.00982864
23,4351.23,0.56884,0.5732,1.14424,0.88648,0.90428,0.93397,0.86343,0.40493,0.40942,0.97904,0.00981204,0.00981204,0.00981204
24,4538.75,0.56755,0.55781,1.14143,0.8607,0.89796,0.93804,0.86769,0.39678,0.41596,0.96333,0.00979468,0.00979468,0.00979468
25,4726.27,0.56384,0.56371,1.14277,0.93154,0.83783,0.94479,0.87646,0.40593,0.40721,0.97215,0.00977658,0.00977658,0.00977658
26,4913.84,0.55255,0.54089,1.12876,0.93734,0.8666,0.95279,0.88586,0.37478,0.36291,0.94,0.00975773,0.00975773,0.00975773
27,5101.55,0.54857,0.53742,1.12811,0.9032,0.90031,0.95822,0.89196,0.3897,0.3589,0.96712,0.00973814,0.00973814,0.00973814
28,5289.12,0.54644,0.52892,1.12431,0.90278,0.89632,0.95611,0.89277,0.38552,0.35577,0.95099,0.0097178,0.0097178,0.0097178
29,5476.93,0.54676,0.52084,1.12227,0.91273,0.88795,0.95752,0.89265,0.38078,0.36103,0.95614,0.00969673,0.00969673,0.00969673
30,5664.74,0.53615,0.51352,1.11709,0.92188,0.92036,0.95677,0.89603,0.3757,0.34021,0.9463,0.00967493,0.00967493,0.00967493
31,5852.35,0.53464,0.5062,1.11296,0.94052,0.87925,0.94676,0.87859,0.37541,0.35241,0.94038,0.00965239,0.00965239,0.00965239
32,6039.76,0.52821,0.49092,1.10887,0.93986,0.88385,0.94968,0.88595,0.38455,0.36079,0.94622,0.00962913,0.00962913,0.00962913
33,6227.28,0.52881,0.49161,1.1098,0.88773,0.91555,0.95456,0.8861,0.38132,0.33808,0.95342,0.00960515,0.00960515,0.00960515
34,6414.74,0.52862,0.48418,1.10664,0.92787,0.89367,0.95512,0.8967,0.35554,0.32523,0.92317,0.00958044,0.00958044,0.00958044
35,6602.4,0.51694,0.47748,1.09889,0.90217,0.89603,0.94954,0.8883,0.37222,0.35339,0.95283,0.00955502,0.00955502,0.00955502
36,6789.9,0.51885,0.47757,1.09977,0.93214,0.89952,0.96454,0.8983,0.37039,0.32243,0.94244,0.00952889,0.00952889,0.00952889
37,6977.63,0.51476,0.47336,1.09511,0.93893,0.89173,0.96436,0.90046,0.36424,0.3367,0.94253,0.00950206,0.00950206,0.00950206
